,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_global_horizontal,irradiance_direct_normal 
3689,73.18549375684711,73.23840974075232,16.814506243152895,16.761590259247683,285.01455446229096,1.8196615546621615,2023-06-03 17:00,2023-06-03 18:00,0.312,0.253,0.075,17.247,0.328,0.8746028230554849
3690,81.90697368106152,82.01380752999465,8.093026318938477,7.986192470005354,296.0189193520488,1.8127657826480572,2023-06-03 18:00,2023-06-03 19:00,0.155,0.105,0.064,15.954,0.16899999999999998,0.7458407050021358
3691,89.51736457681282,89.98684995883863,0.4826354231871738,0.013150041161370288,307.39984434236754,1.805859769207018,2023-06-03 19:00,2023-06-03 20:00,0.028,0.013,0.029,14.176,0.042,
3692,96.79237870923228,96.79237870923228,-6.792378709232284,-6.792378709232284,319.5080331197232,1.798943530608085,2023-06-03 20:00,2023-06-03 21:00,0.0,0.0,0.0,12.624,0.0,-0.0
3693,102.034117781889,102.034117781889,-12.034117781888991,-12.034117781888991,332.5241562721801,1.7920170828001574,2023-06-03 21:00,2023-06-03 22:00,0.0,0.0,0.0,11.79,0.0,-0.0
3694,105.3246956823801,105.3246956823801,-15.324695682380101,-15.324695682380101,346.3890927785069,1.7850804418267217,2023-06-03 22:00,2023-06-03 23:00,0.0,0.0,0.0,11.081,0.0,-0.0
3695,106.37084563436595,106.37084563436595,-16.370845634365946,-16.370845634365946,0.7620928308166413,1.7781336240077508,2023-06-03 23:00,2023-06-04 00:00,0.0,0.0,0.0,10.523,0.0,-0.0
3696,105.0694470242618,105.0694470242618,-15.06944702426181,-15.06944702426181,15.103065466281578,1.771176645270316,2023-06-04 00:00,2023-06-04 01:00,0.0,0.0,0.0,10.105,0.0,-0.0
3697,101.54782171312402,101.54782171312402,-11.547821713124016,-11.547821713124016,28.884884410979907,1.7642095217961469,2023-06-04 01:00,2023-06-04 02:00,0.0,0.0,0.0,9.879,0.0,-0.0
3698,96.11440326259398,96.11440326259398,-6.11440326259398,-6.11440326259398,41.79630627705626,1.757232269832457,2023-06-04 02:00,2023-06-04 03:00,0.0,0.0,0.0,9.727,0.0,-0.0
3699,88.78525449793247,89.16080329248722,1.2147455020675233,0.8391967075127816,53.80757379319323,1.7502449055682519,2023-06-04 03:00,2023-06-04 04:00,0.0,0.0,0.0,9.555,0.0,0.0
3700,80.9816460193882,81.08069101607134,9.0183539806118,8.919308983928666,65.1205271880267,1.7432474449960864,2023-06-04 04:00,2023-06-04 05:00,0.028,0.01,0.03,9.767,0.04,0.06379550711892996
3701,72.18388886224622,72.2348940481219,17.81611113775378,17.765105951878105,76.101066406602,1.7362399046178325,2023-06-04 05:00,2023-06-04 06:00,0.151,0.09,0.071,10.82,0.16099999999999998,0.2941531911239439
3702,62.925873187423306,62.95811674371848,27.074126812576694,27.04188325628152,87.2606464477991,1.7292223005497362,2023-06-04 06:00,2023-06-04 07:00,0.317,0.248,0.078,12.492,0.326,0.5448838570934603
3703,53.57627280600627,53.598560767607474,36.42372719399373,36.401439232392526,99.31303664245763,1.7221946488934918,2023-06-04 07:00,2023-06-04 08:00,0.47,0.407,0.081,14.284,0.488,0.6854711946434393
3704,44.581420725468476,44.597575441301885,45.418579274531524,45.402424558698115,113.31821043713671,1.715156966165523,2023-06-04 08:00,2023-06-04 09:00,0.6,0.554,0.084,15.714,0.638,0.7778127422756401
3705,36.62649149479942,36.638637121143596,53.37350850520058,53.361362878856404,130.85741548565073,1.7081092685402837,2023-06-04 09:00,2023-06-04 10:00,0.699,0.676,0.087,16.837,0.763,0.8423238144894823
3706,30.85656570031287,30.866299245422603,59.14343429968713,59.1337007545774,153.71357153138706,1.7010515723086428,2023-06-04 10:00,2023-06-04 11:00,0.764,0.761,0.09,17.67,0.851,0.8864773596896889
3707,28.815076943983037,28.824021684051523,61.18492305601696,61.17597831594848,181.47584276728162,1.6939838938997127,2023-06-04 11:00,2023-06-04 12:00,0.796,0.804,0.092,18.205,0.896,0.9176197929410443
3708,31.29365237168699,31.303527007442554,58.70634762831301,58.696472992557446,208.90939586969677,1.6869062496334664,2023-06-04 12:00,2023-06-04 13:00,0.796,0.806,0.091,18.507,0.897,0.9432235800896586
3709,37.349583250945635,37.361978470455405,52.650416749054365,52.638021529544595,231.17909450117395,1.6798186558153247,2023-06-04 13:00,2023-06-04 14:00,0.761,0.76,0.09,18.55,0.85,0.9560364546178947
3710,45.44848366010537,45.46498123831291,44.55151633989463,44.53501876168709,248.27671633488296,1.6727211289689876,2023-06-04 14:00,2023-06-04 15:00,0.692,0.673,0.088,18.369,0.761,0.9593040068857224
